"koordinate "	"id. Broj"	"naziv djela"	"ime autora"	"prezime autora"	"godina nastanka"	"tehnika"	"format"	"vlasnik"	"link vlasnik"	"foto kredits"	"glavni narativ uz djelo )pojavljije se kao prvi pasus)"	"sekundarni narativ uz djelo, slijedi nakon prvog, služi obično da se povežu pojedine tačke"	"narativ za koji se veže. Ako ih ima više razdvojiti ih sa tačka zarez, npr: Miunović Milo;Boka kotorska; ovo se pojavljuje nakon teksta o jedinici "	"Column2"	"Column3"	"Column4"	"Column5"
"42.422035989003895, 18.77123711237928"	1104	"Kotorska luka"	"Heinrich Louis Theodor "	"Gurlitt"	1879	"ulje na platnu"	"60x80"			"wikimedia"	"Uspješni pejzažni motivi često su dobijali produžen i slojevit život izvan svog prvobitnog konteksta. Crteži koji su se pokazali vizuelno snažnim i prepoznatljivim služili su kao osnova za grafičke reprodukcije, ali i za kasnije slikarske varijante u tehnici ulja. Kod Louisa Gurlitta ovaj proces je jasno uočljiv na motivima Kotora i njegove luke: isti osnovni prizor pojavljuje se u crtežu, gravuri i slici, pri čemu se sa promjenom medija mijenjaju stepen detalja, kolorit i atmosfera, ali se zadržava stabilna formalna struktura motiva."		"Heinrich Louis Theodor Gurlitt; Kotor"				
"42.427741,18.758737"	1105	"Kotorski zaliv"	"Hermann David Salomon"	"Corrodi"	1905	"ulje na platnu"	"102x168"			"wikimedia"	"Za razliku od tih vedrih kompozicija, u prikazu Kotorskog zaliva unosi snažnu dramsku notu – pejzaž u svitanje obavijen je tamnim koloritom i magličastom atmosferom, gdje planine gube realističnu formu i postaju dio gotovo mističnog, slikarskog doživljaja prostora.
"		"Hermann Corrodi; Kotor"				
"42.404203392963275, 18.77962701434782"	1106	"Put od Kotora ka Cetinju"	"Hugo"	"Charlemont"	1892					"wikimedia"	"Realističan prikaz tada novog puta od Kotora ka Cetinju odlikuje se izuzetno precizno obrađenom topografijom strmih obronaka Lovćena. Put je projektovao Josip Slade Šilović, trogirski arhitekta angažovan od knjaza Nikole, koji je u posljednjim decenijama XIX vijeka realizovao niz arhitektonskih i urbanističkih projekata u Crnoj Gori. Među njima se posebno izdvaja ovaj drumski pravac, građen između 1877. i 1884. godine. Sa svojih 25 serpentina koje se spuštaju niz planinu i danas predstavlja impresivan inženjerski poduhvat. Sa trase puta pruža se nezaboravan pogled na Bokokotorski zaliv."		"Hugo Charlemont; Kotor; “Austro-ugarska monarhija u slici i riječi”"				
"42.4723527675895, 18.71385815029095"	1107	"Pogled na Perast iz Stoliva"	"Nepoznati autor"		1869	"drvorez"	"24x36"	"Ilustrated London News"		"Geoculture"	"Gravira prikazuje dio Kotorskog zaliva s valovitim morem po kojem plove jedrilice. U pozadini se uzdižu dramatično oblikovana brda i snježni planinski vrhovi, modelovani vijugavim linijama, dok je nebo izvedeno gustim horizontalnim šrafurama. Kuće pravilnih geometrijskih oblika, raspoređene uz obalu, unose ritam i smiruju dinamiku prizora. Gravura je izrađena prema Gurlittovom crtežu za britanski ilustrovani časopis.  Ovo je tipičan primjer kako su Gurlittove vedute s Jadrana cirkulisale Evropom kroz ilustrirane časopise 19. vijeka."						
"42.42249411916785, 18.767469809963455"	1108	"Pogled na grad i tvrđavu Kotor"	"Agostino"	"Spadoni"	1827	"ručno bojeni bakrorez"				"Geoculture"	"Puni ispis u dnu glasi: „Pogled na grad i tvrđavu Kotor u Austrijskoj Albaniji, posvećen uvaženom gospodinu Josipu Vranoviću od carskog i kraljevskog pomoćnika finansija Agostina Spadonija, u mjesecu oktobru 1827. godine.“ Iako bez posebne umjetničke vrijednosti, ova predstava Kotora teži tačnosti sadržaja. Mogu se jasno prepoznati pojedini objekti koji postoje i danas. O autoru ne postoje dostupni podaci."		"Kotor"				
"42.42434237007377, 18.77112426265157"	1111	"Kotorska Katedrala"	"Rudolf"	"Kargl"	1900		"44x35"			"wikimedia"	"Kotorska katedrala prikazana je kao središnji arhitektonski motiv kompozicije, sagledana frontalno, s jasno naglašenim zvonicima koji uokviruju monumentalni ulazni luk. Arhitektura je predstavljena precizno i pregledno. U prvom planu odvija se svakodnevna scena: figure u tradicionalnoj nošnji i uniformisana lica, uz magarca i zaprežna kolica, unose žanrovsku notu i oživljavaju prostor gradskog trga."		"Rudolf Kargl; Kotor"				
"42.443673,18.753222"	1112	"Kuća u Prčanju"	"Petar "	"Lubarda"	1947	"akvarel"	"81 x 64,5 "	"NMCG"		"Geoculture"	"""Brzi"" akvarel prikazuje kuću u Prčanju, viđenu s vrha obližnjeg mula. Slobodni, ekspresivni potezi dočaravaju igru svjetla na pročelju i crvenim krovovima, dok se u pozadini nazire planinski pejzaž. Rad odiše spontanom svježinom i karakterističnim Lubardinim osjećajem za ritam i kontrast tonova."		"Petar Lubarda; Kotor"				
"42.449418,18.752962"	1113	"Prčanj"	"Mario"	"Maskareli"	1953	"ulje na platnu"	"76x59,5"	"Muzej Nikole Tesle"		"Muzej Nikole Tesle"	"Slika je izrazito apstraktnog manira, tamnog kolorita sa dominantnim gustim plavim i zelenim tonovima. Predstavlja scenu prigušene atmosfere primorskog mjesta koje je za autora bilo od posebnog značenja. "		"Mario Maskareli; Kotor"				
"42.487878,18.695501"	1114	"Boka Kotorska sa crkvom Sv. Nikole"	"Michael Zeno"	"Diemer"		"akvarel na papiru"	"50x32"			"wikimedia"	"U središtu kompozicije dominira crkva Svetog Nikole u Perastu, prepoznatljiva po visokom zvoniku koji se uzdiže iznad niza kamenih kuća uz obalu. Arhitektura je prikazana s velikom preciznošću i osjećajem za svjetlost: sunčevi zraci obasjavaju fasadu crkve i pročelja kuća, dok njihovi odrazi trepere u mirnoj, tirkizno-plavoj vodi zaliva."		"Michael Zeno Diemer; Perast"				
"42.487384,18.685759"	1115	"Gospa od Škrpjela"	"Michael Zeno"	"Diemer"		"akvarel na papiru"	"33x50"			"wikimedia"	"Ova lirska kompozicija, nastala iz barke, fokusira se na pogled prema ostrvu Gospe od Škrpjela i crkvi Svetog Nikole u Perastu, ističući i sakralni i ambijentalni značaj prostora. Smiren kolorit u plavo-zelenim i sivim tonovima naglašava odsjaj mora i stvara atmosferu tišine i poetičnosti. Planinski vijenac u pozadini i mirna površina vode unose osjećaj monumentalnosti, dok arhitektura ostrva djeluje zaštićeno i prisno u odnosu na prirodu. Djelo je prije svega umjetnički zapis svjetla i atmosfere, a ne dokumentarni prizor, što ga izdvaja od lokalnih slikara čiji su pogledi često bili prožeti ličnim i identitetskim značenjima."		"Michael Zeno Diemer; Perast"				
"42.413751,18.637067"	1116	"Jedrenjak i pomorska flota u Kotorskom zalivu"	"Michael Zeno"	"Diemer"		"gvaš na kartonu"	"78x80"			"wikimedia"	"U središtu kompozicije dominira jedrenjak sa razvijenim crveno-oker jedrima, čiji se odsjaj umireno preslikava na površini mora. Iza njega, pod svjetlom sjevernog sunca, uzdižu se kamene padine Boke Kotorske, obasjane toplim tonovima popodneva. Diemer pažljivo spaja preciznost marinskog prizora s poetskom atmosferom – mirnoća vode, meko svjetlo i sklad boja stvaraju osjećaj monumentalnog, ali tihog susreta čovjeka, mora i planine."		"Michael Zeno Diemer; Perast"				
"42.40335432350363, 18.793806914671986"	1117	"Boka Kotorska, pogled iz planinskog zaleđa"	"Eduard Peithner"	"von Lichtenfels"	1880	"kromolitografija"					"Litografija je štampana u Beču kod Eduarda Hölzela, jednog od najvažnijih bečkih izdavača školskih atlasa, zidnih mapa i luksuznih pejzažnih listova. Ovakvi listovi često su objavljivani kao samostalne grafike ili u okviru geografskih i edukativnih mapa i albuma, namijenjenih obrazovanoj srednjoevropskoj publici."		"Eduard Peithner von Lichtenfels"				
"42.426878,18.758855"	1118	"Pogled na Kotor"	"Nepoznati autor"		1867	" "					"Gravura iz knjige „Dalmatien, die Herzegowina, Montenegro und die Bocche di Cattaro“ autora Johanna Wilhelma Valentina Schmidta, objavljene u Beču 1867. godine. Prikazuje grad Kotor i tvrđavu Sveti Ivan, s pogledom s jugozapadne strane zaliva, uz naglašenu arhitekturu bedema i planinski masiv u pozadini."		"Rudolf von Alt; Kotor"				
"42.485853,18.690394"	1119	"Gospa od Škrpjela"	"Mihail Milo"	"Pavlović"		"akvarel"					"Na slici je prikazan motiv Gospe od Škrpjela, viđen s mula susjednog ostrvceta. Prizor je sveden i poetski transformisan, u skladu s autorovim akvarelskim rukopisom. Ostrvo s crkvom pojavljuje se kao suptilna silueta uronjena u prozračnu izmaglicu, gotovo lebdeći između vode i vazduha. Mirna površina mora preslikava arhitekturu u mekanim, razlivenim odrazima, dok se u pozadini tek nazire masiv planine, rastvoren u svijetlim, zagasitim tonovima."		"Mihail Milo Pavlović; Perast"				
"42.42285227271716, 18.771733562667613"	1120	"Crkva Svetog Franja u Kotoru"	"Anton"	"Perko"	1889	"akvarel"	"45x32"				"Prikaz crkve Svetog Franja dat je u toplom svjetlu kasnog dana, kada sunce blago obasjava kamen i stvara bogatu igru svjetlosti i sjenke po zidovima i krovovima okolnih zgrada. U prvom planu vidljiv je dio uske ulice, s nekoliko prolaznika — figura u pokretu koje unose život u arhitektonski okvir i daju mjerilo prostoru. Kolorit slike počiva na toplim, zemljanim tonovima kamena i terakote, u kontrastu s hladnim plavičastim sjenama i fragmentom neba koji otvara prostor i unosi svježinu, dok prozračne, slojevite i usklađene boje prenose dojam mediteranske svjetlosti. Atmosfera slike odiše tihim mirom i osjećajem postojanosti, a Kotor je prikazan kao intiman, gotovo zatvoren svijet u kojem arhitektura, svjetlost i ljudska svakodnevica čine skladnu cjelinu, uz suptilan osjećaj za ambijent i arhitektonsku ljepotu dalmatinskih i bokeljskih prostora."		"Anton Perko; Kotor"				
"42.449426,18.536747"	1121	"Herceg Novi tvrđava Forte mare"	"Anton"	"Perko"	1875	"akvarel"	"42x32"			"wikimedia"	"Ovdje autor vješto spaja arhitektonsku monumentalnost tvrđave s poetskim doživljajem svjetlosti i pejzaža. U središtu kompozicije dominira kamena masa Forte Mare, čije se zidine spuštaju prema moru, dok se iznad njih uzdižu zeleni nasipi i vegetacija tipična za mediteranski kraj — borovi, masline i nisko rastinje. More u podnožju tvrđave prikazano je u bogatim plavičasto-zelenim tonovima, s blagim talasima koji reflektuju svjetlost neba; njegova površina djeluje gotovo prozirno, pojačavajući osjećaj vedrine i svježine ljetnjeg dana. U daljini se naziru obrisi zaliva i planina, uronjeni u blagu izmaglicu. Autor majstorski koristi kontrast svjetla i sjenke: tvrđava je djelimično obasjana suncem, dok su njeni donji dijelovi u blagom hladu, čime se postiže snažan osjećaj dubine i prostorne slojevitosti. Kamen je naslikan s izraženom pažnjom prema teksturi, u toplim nijansama okera i sivkastih tonova, koji otkrivaju tragove vremena i soli."		"Anton Perko; Herceg Novi"				
"42.485262,18.700013"	1122	"Kotorski zaliv sa ostrvima Gospa od Škrpjela i Gospa od Milosti"	"Anton"	"Perko"	1875	"akvarel"	"24x36"			"wikimedia"	"Ovaj rad predstavlja jedno od njegovih najljepših prikazivanja bokokotorskog pejzaža — prizor u kojem se susreću miran ritam mora, monumentalnost planina i poetična svjetlost juga. U prvom planu prostire se morska površina, mirna i blistava, obojena nijansama tirkiza, plavetnila i srebrnastih odsjaja. Na vodi se pojavljuje jedan ili nekoliko malih čamaca, koji unose diskretan osjećaj pokreta i ljudskog prisustva, ne narušavajući pritom smirenost prizora. Duž suprotne strane zaliva uzdižu se kamene obale s naseljima — nizovi kuća i crkvenih tornjeva koji se stepenasto penju uz padine brda. Planine koje zatvaraju zaliv dominiraju pozadinom, prikazane u nježnim sivkastim i modrim tonovima, s magličastim prelazima koji pojačavaju osjećaj dubine i prostorne širine. Paleta je prozračna, a potezi kista mekani i ritmični, što pejzažu daje gotovo lirsku atmosferu. U ovom djelu jasno se prepoznaje Perkov osjećaj za mediteransku svjetlost i njegova sposobnost da istovremeno zadrži realističnu tačnost i poetsku emociju."		"Anton Perko; Kotor"				
"42.507872,18.695962"	1123	"Risan"	"Nepoznati autor"		1876						"Prikazana je obalna veduta Risna sa razvijenim lučkim životom, u kojem se prepliću arhitektura, pomorski saobraćaj i svakodnevne figure u prvom planu. Precizan crtež i široka panoramska kompozicija naglašavaju topografiju mjesta i njegov odnos sa planinskim zaleđem. Gravira je objavljena u „The Illustrated London News“ 1876. godine."						
"42.415473,18.770560"	1124	"Kotorski zaliv"	"Rudolf"	"von Alt"	1841	"akvarel"	"30x40"	"Albertina"		"wikimedia"	"U ovom prikazu Kotorskog zaliva pejzaž je sagledan s povišene tačke, s puta iznad Škaljara. Slika naglašava monumentalnost planinskog masiva koji se strmo uzdiže iznad obale. U prvom planu pojavljuju se figure putnika i životinja na kamenitom putu, koje prizoru daju narativni i ljudski okvir, dok se u daljini nazire zaliv s gradom uz obalu, obavijen svjetlošću i blagom izmaglicom. Prozračna paleta zemljanih, sivkastih i plavičastih tonova, zajedno s mekim prelazima svjetla, gradi osjećaj dubine i prostorne širine. Upravo takav spoj topografske preciznosti i poetskog doživljaja prostora čine von Alta jednim od najistaknutijih hroničara evropskih pejzaža svoga vremena."		"Rudolf von Alt; Kotor"				
"42.426015,18.759161"	1125	"Muo"	"Rudolf"	"von Alt"	1841	"akvarel"	"33x48"	"Albertina"		"wikimedia"	"U prikazu Mua prepoznaje se umjetnikov interes za topografski tačan, ali emotivno obojen prikaz prostora. Slika odiše smirenošću i skladom između prirode i čovjeka, prikazujući Boku Kotorsku kao prostor izuzetne ljepote i harmoničnog života uz more."		"Rudolf von Alt; Kotor"				
"42.422086,18.764112"	1126	"Pogled na Muo i Dobrotu"	"Rudolf"	"von Alt"	1841	"akvarel"	"40x52"	"Albertina"		"wikimedia"	"Kompozicija prikazuje panoramski pogled preko Kotorskog zaliva, sa naseljem Muo u prvom planu, dok se nasuprot njemu, preko vodene površine, pruža Dobrota — niz bijelih kamenih kuća raspoređenih duž obale. U središtu prizora prostire se mirna površina mora, koja poput ogledala reflektuje svjetlost i tonove okolnog pejzaža. Planinski masivi koji zatvaraju zaliv uzdižu se u pozadini, obavijeni blagom izmaglicom, što predstavlja motiv tipičan za autorovu sposobnost prikaza atmosferske perspektive i suptilnih promjena svjetlosti."		"Rudolf von Alt; Kotor"				
"42.443653110830304, 18.763363685332624"	1127	"Dobrota"	"Rudolf"	"von Alt"	1841	"akvarel"	"40x52"	"Albertina"		"wikimedia"	"Kompozicija je smirena i uravnotežena, sa pogledom na obalu Dobrote, gdje se niz kamenih kuća sa crvenim krovovima niže duž uske obalne linije. U prvom planu nalaze se čamci i barke privezani uz obalu, što prizoru unosi osjećaj života i upućuje na svakodnevicu mještana, dok se u pozadini uzdižu planinski obronci koji zatvaraju zaliv. Između mora i planina, Alt gradi prizor harmoničnog suživota prirodnog i izgrađenog prostora. Njegov osjećaj za svjetlo i atmosferu dolazi posebno do izražaja: more je oblikovano u blagim plavičasto-sivim tonovima, sa odsjajem prozračnog, blago zamagljenog neba, što prizoru daje karakter tipičnog jadranskog jutra. Arhitektura Dobrote prikazana je precizno, gotovo topografski, dok nježnim akvarelnim potezom autor stvara poetsku realnost u kojoj se dokumentarnost i emotivnost skladno prepliću.
"		"Rudolf von Alt; Kotor"				
"42.424134,18.770984"	1128	"Katedrala u Kotoru"	"Rudolf"	"von Alt"	1841	"akvarel"	"40x52"	"Albertina"		"wikimedia"	"Monumentalna fasada katedrale, sa dva zvonika i romaničkim portalom, zauzima središnji dio kompozicije, dok su oko nje raspoređene uske kamene kuće i kaldrmisani trg na kojem pulsira svakodnevni život grada. Na trgu se naziru figure prolaznika i trgovaca, što prizoru daje živost i jasnu ljudsku mjeru. Umjetnik koristi toplu, zlatnu svjetlost koja obasjava pročelje katedrale i okolne zgrade, naglašavajući teksturu kamena i bogatstvo arhitektonskih detalja. U pozadini se uzdižu sive stijene Lovćena, stvarajući snažan kontrast između monumentalnosti prirode i skladno izgrađenog grada u njenom podnožju. Takva dramaturgija svjetla i mase tipična je za Altovu estetiku — realizam prožet poetskim osjećajem prostora.
"		"Rudolf von Alt; Kotor"				
"42.424007,18.760486"	1129	"Kotor"	"Emil Jakob"	"Schindler"	1888			"Austro-ugarska monarhija u slici i riječi"			"Prizor prikazuje pogled na Kotor sa suprotne strane zaliva, sa širokom vodenom površinom u prvom planu i gradom položenim uz samu obalu, u podnožju strmih planinskih litica. Linija grada proteže se horizontalno, naglašena nizom svijetlih kamenih zdanja i diskretnim vertikalama crkvenih tornjeva, dok se iznad nje uzdižu gole, monumentalne stijene sa tvrđavom Sveti Ivan. Planinski obronci dominiraju kompozicijom, gotovo potiskujući naselje u uski pojas između kamena i mora, čime se snažno ističe dramatičan odnos prirodne i ljudske gradnje."		"Emil Jakob Schindler; Kotor; ""Austro-ugarska monarhija u slici i riječi"""				
"42.422389407426564, 18.762039487074723"	1131	"Pogled na Kotor"	"Mathias"	"Trentsensky"	1845	"litografija"	"20x32"			"Geoculture"	"U prvom planu prikazani su obala i put, sa figurama i jedrenjacima koji služe kao mjerilo razmjere i unose element svakodnevnog života. Pejzaž je oblikovan finim tonskim prelazima i preciznom linijom, bez naglašenih kontrasta. Ovakav pristup tipičan je za vedute sredine 19. vijeka, u kojima se estetska vrijednost podređuje jasnoći, preglednosti i topografskoj tačnosti."		"Mathias Trentsensky; Kotor"				
"42.449768809840194, 18.53391412517969"	1132	"Slika sa pristaništa"	"Savo"	"Vujović"	1949	"tempera na platnu"	"35x42"	"NMCG"		"Geoculture"	"Pogled na škver u Herceg Novom iznad kojeg se uzdižu zidine trvđave. Realistična predstava priobalja realizovana u toplim pastelnim tonovima plave."		"Savo Vujović; Herceg Novi"				
"42.48869709704432, 18.6954365411939"	1133	"Pogled na Perast u Boki Kotorskoj"	"Adolf"	"Wagner"	1890						"Prizor prikazuje pogled na Perast, sagledan sa blago uzvišene tačke, kroz mediteransku vegetaciju i kameniti teren u prvom planu. Grad se otvara prema mirnoj površini mora, sa jasno istaknutim zvonikom koji vertikalno dominira nizom svijetlih kamenih kuća zbijenih uz obalu. More je prikazano u čistim, prozračnim plavičastim nijansama. Cjelina je oblikovana mekim akvarelnim potezom i suptilnom kolorističkom harmonijom, stvarajući romantičnu vedutu u kojoj se arhitektura, pejzaž i svjetlost stapaju u tih, kontemplativan ugođaj."		"Adolf Wagner; Perast"				
"42.3976763662004, 18.92242745829751"	1134	"Donji kraj"	"Petar"	"Lubarda"	1947	"ulje na platnu"	"88,8x94,5"	"NMCG"		"Geoculture"	"Taman, prigušen kolorit karakterističan je za umjetnikove rane godine, uz dominaciju intenzivnih sivo-zelenih tonova. Prikazan je pejzaž prigradskog dijela Cetinja, sa nekoliko nižih, starih kamenih kuća, među kojima se u centralnom dijelu izdvaja svjetliji objekat koji kompoziciono dominira prizorom. Gusta slikarska faktura i naglašeni odnosi svjetlog i tamnog dodatno potenciraju atmosferu predjela. Tokom godina provedenih u Crnoj Gori, Lubarda je često obilazio Cetinje, Lovćen i okolinu, nalazeći u tom prostoru trajnu inspiraciju za svoja djela. Narodni muzej Crne Gore posjeduje veliki broj njegovih radova iz svih stvaralačkih faza, koji su izloženi u memorijalnoj sobi u okviru stalne postavke Umjetničkog muzeja."		"Petar Lubarda; Cetinje"				
	1140	"Kuće na Svetom Stefanu"	"Olga"	"Bogdanović"		"ulje na platnu"	"52,5x70"	"NMCG"		"Geoculture"	"Primorski pejzaž donosi neobičan pogled na priobalje Svetog Stefana, sa kućom smještenom neposredno uz obalu i pogledom na manju stijenu koja se uzdiže u njenoj blizini. Kolorit je prozračan, pastelan i topao, oblikovan u maniru intimističkog slikarstva."		"Olga Bogdanović; Sveti Stefan"				
"41.910678594146084, 19.234312969373363"	1141	"Velika plaža"	"Anastasija"	"Brajović"		"ulje na platnu"	"74x89,7"	"JU Muzeji i galerije Podgorice"		"Geoculture"	"Na slici je prikazan prostrani, sunčani pejzaž ulcinjske obale, gdje horizont široko otvara prostor i naglašava karakterističnu ravnu, beskrajnu liniju plaže. Kompozicijom dominiraju pijesak, more i nebo, svedeni na čiste, jasno definisane površine. Boje su svijetle i prozračne, a figura – ukoliko je prisutna – najčešće služi kao mali akcent koji potvrđuje razmjer i mir pejzaža."		"Anastasija Brajović; Ulcinj"				
"42.45000970696218, 18.658006026814633"	1142	"Demonstracija flote ispred Tivta"	"Ugo"	"Pogatschniggo"	1881	"ulje na platnu"	"75x240"	"NMCG"		"NMCG"	"Predstava nekoliko vojnih brodova usidrenih u zalivu ispred Tivta. Kao protivteža kompoziciji u prvom planu predstavljena su masivna brda u pozadini, definisana različitim nijansama sivih tonova i svjetloplavim nebom. Na poleđini slike nalazi se posveta o posjeti princa Danila brodu Teodo, kao i podatak o autorstvu slike kapetana Uga Pogatschniggo-a. "		"Ugo Pogatschniggo; Tivat"				
"42.45176482412107, 18.53872317906303"	1143	"Herceg Novi (Karača)"	"Vojislav "	"Đokić"	1950	"pastel na kartonu"	"40,3x56"	"NMCG"		"Geoculture"	"U „Herceg Novom“ Đokić donosi življu, dinamičniju kompoziciju. Pogled obuhvata gusto tkivo grada s terasastim kućama koje se spuštaju ka moru. Linije su izraženije nego u „Igalu“ – kompozicija ima jači ritam, s izmjenom vertikala i dijagonalnih krovova koji unose pokret. Kolorit je intenzivniji: tople crvene i narandžaste na krovovima kontrastiraju dubokim modrim i zelenim tonovima rastinja. Svjetlost je snažna, ali razlomljena, što stvara igru svjetlih i tamnih ploha i naglašava reljefnost grada. U atmosferi slike osjeća se vitalnost primorskog prostora — energija života, svjetlosti i boje."		"Vojislav Đokić; Herceg Novi"				
"42.43938731219403, 19.25939374876098"	1144	"Predio sa Ribnice"	"Niko"	"Đurović"	1949	" olovka na papiru"	"35x44"	"NMCG"		"Geoculture"	"Rad iz poslijeratnog perioda karakteriše izrazito realistična predstava Sastavaka — mosta na Ribnici i obližnje građevine, mlina koji danas više ne postoji, smještene u njegovoj neposrednoj blizini."		"Niko Đurović; Podgorica"				
"42.4534567848565, 18.527416023880875"	1145	"Herceg Novi"	"Branko Filo"	"Filipović "	1954	"ulje na kartonu"	"42,3x59"	"NMCG"		"Geoculture"	"Ovo je življi, ritmičniji pejzaž sa dinamičnim spletom kuća, stepeništa i mediteranske vegetacije. Svjetlost je oštrija, a kontrasti izraženiji. Kompozicija se zasniva na dijagonalama i vertikalama koje daju osjećaj pokreta i života grada u svjetlosti."		"Branko Filipović Filo; Herceg Novi"				
	1146	"Primorski motiv"	"Branko Filo"	"Filipović "	1959	"ulje na platnu"	"54,5x84,5"	"NMCG"		"Geoculture"	"„Primorski motiv“ može se tumačiti kao svojevrsna sinteza Filovog pristupa pejzažu — slika u kojoj se jasno prepoznaje njegov likovni kredo: svijet sagledan kroz boju, svjetlost i ritam oblika, uz postepeno dekomponovanje forme. Ova slika nagovještava postepeno svođenje forme i usmjeravanje ka apstraktnom slikarstvu koje će biti njegova glavna odlika."		"Branko Filipović Filo"				
"42.25746209461637, 18.89350884018613"	1147	"Sveti Stefan"	"Branko Filo"	"Filipović "		"ulje na papiru"	"35x50"	"NMCG"		"Geoculture"	"U ovom djelu Filo prikazuje netipičan obalski dio mjesta, sagledan u duhu mediteranskog prostora. Arhitektura je svedena na ritam volumena uokvirenih morem i nebom, koji zajedno čine jedinstvenu kolorističku cjelinu. Paleta je topla, sa dominacijom okera, crvene i modre, dok je površina slike strukturalno bogata, sa vidljivim, zrelim potezom. U atmosferi se osjeća mir i plemenita jednostavnost, karakteristična za njegovu poetiku tišine i svjetlosti. Riječ je o ranom periodu, u kojem autor slika figuraciju u duhu tada aktuelnih tendencija."		"Branko Filipović Filo; Sveti stefan"				
"42.40336951145468, 18.793863871000525"	1148	"Boka"	"Branko Filo"	"Filipović "		"ulje na platnu"	"35x90,2"	"NMCG"		"Geoculture"	"Prikaz Bokokotorskog zaliva sveden je isključivo na boju, gotovo u potpunosti apstrahovan. Na kompozicijama je sve manje prepoznatljivih elemenata. Izrazita svjetlost i svijetao kolorit, sa ponekim plavim akcentom, definišu brdovitu strukturu predjela."		"Branko Filipović Filo"				
"42.77424662683203, 18.942325632727886"	1149	"Nikšić"	"Branko Filo"	"Filipović "	1951	"tempera na platnu"	"33x49,5"	"NMCG"		"Geoculture"	"Na ovoj slici Filo napušta mediteranski ambijent i prikazuje kontinentalni pejzaž — gradski i industrijski prostor koji jasno kontrastira njegovim primorskim motivima. Kolorit je prigušeniji, sa preovlađujućim tonovima sive, smeđe i modrozelene. Na ovom radu uočljive su karakteristike stila Aleksandra Aca Prijića, sa kojim je u tom periodu, zajedno sa Gojkom Berkuljanom, stvarao u okviru grupe „Trojica“."		"Branko Filipović Filo; Nikšić"				
"43.356554747078505, 19.35884550340992"	1150	"Begovski dom"	"Ljubomir Ljuba"	"Ivanović"	1933	"olovka na papiru"	"24,5x35,7"	"NMCG"		"Geoculture"	"Crtež je nastao u Pljevljima 1933. godine. Različito tretiranim potezima olovke autor stvara dinamičnu predstavu begovske kuće koja se uzdiže iznad trošnih objekata u prvom planu. Oscilirajući u dinamici crteža, postiže se utisak vibriranja i strujanja vazduha, dok diskretni svjetlo-tamni odnosi doprinose osjećaju snažne svjetlosti koja se rasipa po površini. Rad pripada mapi crteža koju je autor izdao 1937. godine pod nazivom „Jugoslovenski predeli“."		"Ljuba Ivanović; Pljevlja"				
"43.03539187077306, 19.750323857713035"	1151	"Bijelo Polje"	"Ljubomir Ljuba"	"Ivanović"	1937	"olovka na papiru"	"24,8x34,8 "	"NMCG"		"Geoculture"	"Autorovo crtačko majstorstvo i vještina dočaravanja atmosfere mjesta jasno se prepoznaju u prikazu pogleda na grad, u kojem dominira stari most. Različitom gustinom šrafura, primijenjenih na rastinje i objekte u pozadini, ostvarena je atmosfera prostorne prozračnosti i dubine."		"Ljuba Ivanović; Bijelo Polje"				
"42.278859194614384, 18.83973144923277"	1152	"Budva"	"Ljubomir Ljuba"	"Ivanović"	1927	"crtež olovkom"	"24x35"	"NMCG"		"Geoculture"	"Ovaj netipični pogled na zidine Starog grada potvrđuje autorovu crtačku vještinu. Intenzivni, gusto zbijeni nanosi ostvaruju snažan utisak masivnih kamenih površina zidova i fasada. Crteže odlikuje poseban tretman svjetlosti, sa pažljivo razrađenim odnosom svjetlog i tamnog. Najbrojniji dio njegovog stvaralaštva nastajao je tokom putovanja širom regiona, pri čemu je, uprkos prepoznatljivosti konkretnih mjesta, uvijek prisutan dašak autorove lične impresije. Ovi crteži naročito su dragocjeni jer većina predstavljenih lokacija danas više ne postoji u svom izvornom obliku."		"Ljubomir Ljuba Ivanović; Budva"				
"42.43896199441481, 19.259874282873263"	1153	"Ribnica"	"Ljubomir Ljuba"	"Ivanović"	1927	"olovka na papiru"	"34,7x49,2"	"NMCG"		"Geoculture"	"Crtež vjerno prikazuje arhitekturu mosta u čijoj se neposrednoj blizini nalazio i mlin, srušen prilikom odrona 1963. godine, pa predstavlja jedno od rijetkih svjedočanstava njegovog izvornog izgleda i nekadašnje skladno komponovane cjeline. Most, za koji se pretpostavlja da potiče još iz rimskog perioda, obnovio je Adži paša Osmanagić, po kojem je i dobio ime."		"Ljuba Ivanović; Podgorica"				
"42.450431920101714, 19.26060276836133"	1154	"Vezirov most"	"Ljubomir Ljuba"	"Ivanović"	1927	"olovka na papiru"	"24,5x35"	"NMCG"		"Geoculture"	"Crtački precizno dočarana arhitektura jedno je od malobrojnih svjedočanstava o Vezirovom mostu, uništenom 1944. godine, tokom Drugog svjetskog rata. Nikada nije obnovljen, već je na njegovo mjestu sagrađen most nazvan po narodnom heroju Vaku Đuroviću. Postoji pretpostavka da je njegov graditelj bio Mehmed paša Sokolović u XVI vijeku. Dugo je to bio jedini most preko Morače, kao i raskrsnica prema Nikšiću i Spužu. Imao je tri luka, a sa obje strane su se nalazile stražarske kule."		"Ljuba Ivanović; Podgorica"				
